service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"TA+b0qfp","0","0","0","0","0","1","1","20181209","20191214"
"TA+b0qr1","1","1","1","1","1","0","0","20181209","20191214"
"TA+b0qfm","1","1","1","1","1","0","1","20181209","20191214"
"TA+b03yn","0","0","0","0","1","1","0","20181209","20191214"
"TA+b0if7","0","0","1","1","1","1","1","20181209","20191214"
"TA+b0ib7","0","0","0","0","1","1","0","20181209","20191214"
"TA+b0o1h","0","0","1","1","1","0","0","20181209","20191214"
"TA+b0pps","0","0","1","1","1","1","0","20181209","20191214"
"TA+b0yzg","0","0","0","0","0","1","1","20181209","20191214"
"TA+b0egk","1","1","1","1","1","0","0","20181209","20191214"
"TA+b0o20","1","1","1","1","1","1","1","20181209","20191214"
"TA+b0egm","0","0","0","0","1","1","0","20181209","20191214"
"TA+b026o","0","0","0","0","0","1","1","20181209","20191214"
"TA+b0egl","1","1","1","1","1","1","0","20181209","20191214"
"TA+b0noj","1","1","1","1","1","0","0","20181209","20191214"
"TA+b0r7y","0","0","0","0","1","1","0","20181209","20191214"
"TA+b0egn","0","0","0","0","1","1","0","20181209","20191214"
"TA+b0egj","0","0","1","1","0","1","0","20181209","20191214"
"TA+b0m4q","0","0","0","0","1","0","1","20181209","20191214"
"TA+b11q7","0","0","0","0","1","1","0","20181209","20191214"
"TA+b0cmf","0","0","0","0","0","1","0","20181209","20191214"
"TA+b0cmd","0","0","0","0","0","1","1","20181209","20191214"
"TA+b0ra8","1","1","1","1","1","1","1","20181209","20191214"
"TA+b0yoo","0","0","0","1","0","1","1","20181209","20191214"
"TA+b0opw","0","0","0","0","0","1","1","20181209","20191214"
"TA+b0yot","1","1","1","1","1","0","0","20181209","20191214"
"TA+b0opu","1","1","1","1","1","1","1","20181209","20191214"
"TA+b0pix","1","1","1","1","1","1","1","20181209","20191214"
"TA+b1119","1","1","1","1","1","1","1","20181209","20191214"
"TA+b0yok","1","1","1","1","1","1","1","20181209","20191214"
"TA+b0oq2","1","1","1","1","1","1","1","20181209","20191214"
"TA+b0piy","1","1","1","1","1","1","1","20181209","20191214"
"TA+b0yol","0","0","0","0","0","1","1","20181209","20191214"
